           TIME	           NODE	             XR	              Z	                 pH	             Na_mgL	             Cl_mgL	
              0	            216	       0.808594	        1.33301	  7.1296798928e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            217	       0.808594	        1.45996	  7.1333329830e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            218	       0.808594	        1.58691	  7.1369941089e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            219	       0.808594	        1.71387	  7.1406633297e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            220	       0.808594	        1.84082	  7.1443406509e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            221	       0.808594	        1.96777	  7.1480260781e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            222	       0.808594	        2.09473	  7.1517196707e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            223	       0.808594	        2.22168	  7.1554214346e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            224	       0.808594	        2.34863	  7.1592628602e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            225	       0.808594	        2.47559	  7.1640435435e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            226	       0.808594	        2.60254	  7.1688378740e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            227	       0.808594	        2.72949	  7.1736458756e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            228	       0.808594	        2.85645	  7.1784676273e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            229	       0.808594	         2.9834	  7.1833216821e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            230	       0.808594	        3.11035	  7.1884064480e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            231	       0.808594	         3.2373	  7.1935064649e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            232	       0.808594	        3.36426	  7.1986218304e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            233	       0.808594	        3.49121	  7.2037525869e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            234	       0.808594	        3.61816	  7.2088988145e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            235	       0.808594	        3.74512	  7.2140605376e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            236	       0.808594	        3.87207	  7.2192378366e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            237	       0.808594	        3.99902	  7.2244307740e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            240	       0.955611	      0.0634766	  7.0871227375e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            241	       0.955611	        0.19043	  7.0914119103e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            242	       0.955611	       0.317383	  7.0957123705e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            243	       0.955611	       0.444336	  7.1000242092e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            244	       0.955611	       0.571289	  7.1043474309e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            245	       0.955611	       0.698242	  7.1086820220e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            246	       0.955611	       0.825195	  7.1130281274e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            247	       0.955611	       0.952148	  7.1168930288e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            248	       0.955611	         1.0791	  7.1205179721e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            249	       0.955611	        1.20605	  7.1241509056e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            250	       0.955611	        1.33301	  7.1277917813e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            251	       0.955611	        1.45996	  7.1314407288e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            252	       0.955611	        1.58691	  7.1350976645e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            253	       0.955611	        1.71387	  7.1387627187e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            254	       0.955611	        1.84082	  7.1424358433e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            255	       0.955611	        1.96777	  7.1461170437e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            256	       0.955611	        2.09473	  7.1498064333e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            257	       0.955611	        2.22168	  7.1542611491e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            258	       0.955611	        2.34863	  7.1590276227e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            259	       0.955611	        2.47559	  7.1638076539e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            260	       0.955611	        2.60254	  7.1686013116e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            261	       0.955611	        2.72949	  7.1734086288e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            262	       0.955611	        2.85645	  7.1782521254e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            263	       0.955611	         2.9834	  7.1833216821e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            264	       0.955611	        3.11035	  7.1884064480e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            265	       0.955611	         3.2373	  7.1935064649e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            266	       0.955611	        3.36426	  7.1986218304e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            267	       0.955611	        3.49121	  7.2037525869e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            268	       0.955611	        3.61816	  7.2088988145e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            269	       0.955611	        3.74512	  7.2140605376e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            270	       0.955611	        3.87207	  7.2192378366e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            271	       0.955611	        3.99902	  7.2244307740e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            274	        1.10263	      0.0634766	  7.0871828492e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            275	        1.10263	        0.19043	  7.0914721977e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            276	        1.10263	       0.317383	  7.0957728518e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            277	        1.10263	       0.444336	  7.1000847977e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            278	        1.10263	       0.571289	  7.1042045713e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            279	        1.10263	       0.698242	  7.1078016336e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            280	        1.10263	       0.825195	  7.1114066057e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            281	        1.10263	       0.952148	  7.1150194752e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            282	        1.10263	         1.0791	  7.1186403000e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            283	        1.10263	        1.20605	  7.1222690855e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            284	        1.10263	        1.33301	  7.1259058367e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            285	        1.10263	        1.45996	  7.1295506122e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            286	        1.10263	        1.58691	  7.1332034174e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            287	        1.10263	        1.71387	  7.1368642576e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            288	        1.10263	        1.84082	  7.1405332098e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            289	        1.10263	        1.96777	  7.1445355894e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            290	        1.10263	        2.09473	  7.1492743649e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            291	        1.10263	        2.22168	  7.1540266304e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            292	        1.10263	        2.34863	  7.1587924183e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            293	        1.10263	        2.47559	  7.1635717793e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            294	        1.10263	        2.60254	  7.1683647461e+000	  0.0000000000e+000	  0.0000000000e+000	
              0	            295	        1.10263	        2.72949	  7.1731977180e+000	  0.0000000000e+000	  0.0000000000e+000	
